Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0362	389.5934	109.9956	373.4013	61.1094	64.6537	55.3150	30.4459	40.2333	38.4195	42.1622
Fisuc_0363	320.1609	345.5155	284.4962	203.6979	198.3693	197.0596	196.8488	209.2129	152.5956	161.1531
Fisuc_0364	151.7229	161.7582	135.8977	178.8015	170.4507	127.9159	202.0981	263.8152	255.9494	180.8288
Fisuc_0365	46.2883	54.3508	58.4233	45.2662	52.8985	25.9289	44.6191	50.0042	47.0774	47.7838
Fisuc_0366	3.8574	14.2347	20.3212	6.7899	13.2246	15.5573	18.8975	12.6447	15.6925	14.0541
Fisuc_0367	25.7157	19.4110	17.7810	13.5799	27.9186	24.2003	37.7950	31.6118	40.0428	43.0991
Fisuc_0368	104.1487	134.5828	175.2700	135.7986	158.6955	127.9159	207.8723	179.3254	221.3178	183.1712
Fisuc_0369	455.1686	406.3366	504.2187	377.9728	327.6767	402.7622	280.3127	324.7398	286.2521	292.7928
Fisuc_0371	32.1447	21.9991	31.7518	9.0532	20.5716	17.2859	18.8975	9.7709	20.0214	18.2703
Fisuc_0372	190.2965	265.2835	208.2919	169.7483	198.3693	197.0596	122.8336	136.7931	112.5528	94.1622
Fisuc_0373	129.8645	121.6422	209.5619	104.1123	192.4917	228.1743	329.1312	346.0060	381.4890	325.5855
Fisuc_0374	478.3127	467.1577	509.2990	233.1210	454.0453	484.0060	669.8108	624.7650	740.2511	586.5225
Fisuc_0375	37.2878	21.9991	20.3212	22.6331	22.0410	19.0145	14.6980	17.8176	14.6102	19.6757
Fisuc_0376	82.2904	111.2897	93.9854	86.0058	67.5925	95.0726	76.6398	98.2841	93.0725	75.8919
Fisuc_0377	1401.5078	995.1365	1254.8315	1582.0540	1478.2188	1197.9149	511.8068	529.9294	575.2097	527.9639
Fisuc_0378	84.8619	98.3490	76.2043	40.7396	27.9186	34.5719	67.1910	82.1908	63.8521	48.7207
Fisuc_0379	3.8574	12.9407	16.5109	6.7899	4.4082	6.9144	5.7742	12.6447	5.9523	10.3063
Fisuc_0381	700.7539	895.4935	619.7953	391.5527	437.8819	392.3906	305.5093	323.5903	259.7372	227.2072
